model_id,canonical_name,provider,family,access_type,mechanistic_access,modality_text,modality_image,modality_audio,modality_video,modality_tool,weights_available,api_available,local_deployable,logits_available,activations_available,patching_feasible,sae_feasible,context_window_tokens,input_price_per_million_tokens,output_price_per_million_tokens,release_date,license,source_notes,verification_status,architecture_decoder_only,architecture_moe,architecture_multimodal_fusion,architecture_diffusion,architecture_hybrid_tool_system,obstruction_auc_factual_conflict,obstruction_partial_corr_margin_controlled,attribution_collapse_score,obstruction_response_lift,notes_project_status
gpt2-small,GPT-2 small,OpenAI,decoder_only_transformer,open_weight_local,internal_mechanistic_possible,1,0,0,0,0,1,0,1,1,1,1,0,,,,,TODO_VERIFY source metadata; project measured obstruction metrics,PROJECT_MEASURED,1,0,0,0,0,0.6219,0.1793,,,matched facts 60; weak factual conflict signal
gpt2-medium,GPT-2 medium,OpenAI,decoder_only_transformer,open_weight_local,internal_mechanistic_possible,1,0,0,0,0,1,0,1,1,1,1,0,,,,,TODO_VERIFY source metadata; project measured obstruction metrics,PROJECT_MEASURED,1,0,0,0,0,0.6095,0.1008,,,matched facts 89; weak or no-go factual conflict signal
EleutherAI/pythia-410m,EleutherAI Pythia-410m,EleutherAI,decoder_only_transformer,research_control_suite,unusually_good_for_mechanistic_research,1,0,0,0,0,1,0,1,1,1,1,0,,,,,TODO_VERIFY source metadata; project measured obstruction metrics,PROJECT_MEASURED,1,0,0,0,0,0.6036,-0.0236,,,matched facts 61; no-go factual conflict signal
EleutherAI/pythia-1b,EleutherAI Pythia-1b,EleutherAI,decoder_only_transformer,research_control_suite,unusually_good_for_mechanistic_research,1,0,0,0,0,1,0,1,1,1,1,0,,,,,TODO_VERIFY source metadata; project measured obstruction metrics,PROJECT_MEASURED,1,0,0,0,0,0.6818,0.2211,,,matched facts 63; promising smoke result but under data-size gate
gpt-5-6-preview,GPT-5.6 preview,OpenAI,unknown,closed_api_ui,external_only,1,1,0,0,1,0,1,0,0,0,0,0,,,,trusted preview,seed row from project atlas note; source verify before publication,TODO_VERIFY,0,0,0,0,1,,,,external-only closed frontier seed
gpt-5-5,GPT-5.5,OpenAI,unknown,closed_api_ui,external_only,1,1,0,0,1,0,1,0,0,0,0,0,1000000,,,public API; priced,seed row from project atlas note; source verify context and pricing,TODO_VERIFY,0,0,0,0,1,,,,external-only closed frontier seed
gpt-image-2,GPT Image 2,OpenAI,diffusion_model,media_api,external_only,0,1,0,0,0,0,1,0,0,0,0,0,,,,,seed row from project atlas note; media API external-only,TODO_VERIFY,0,0,0,1,0,,,,generative media seed
sora-2-pro,Sora 2 Pro,OpenAI,diffusion_model,media_api,external_only,0,0,0,1,0,0,1,0,0,0,0,0,,,,,seed row from project atlas note; media API external-only,TODO_VERIFY,0,0,0,1,0,,,,generative media seed
claude-fable-5,Claude Fable 5,Anthropic,unknown,closed_api_ui,external_only,1,1,0,0,1,0,1,0,0,0,0,0,1000000,,,Jun 2026 priced,seed row from project atlas note; source verify before publication,TODO_VERIFY,0,0,0,0,1,,,,external-only closed frontier seed
claude-code,Claude Code / Claude agentic tooling,Anthropic,tool_using_agentic_llm_system,closed_system_wrapper,external_only,1,0,0,0,1,0,1,0,0,0,0,0,,,,,seed row from project atlas note; system wrapper over model/tools,TODO_VERIFY,0,0,0,0,1,,,,agentic scaffold seed
gemini-3-5-flash,Gemini 3.5 Flash,Google,multimodal_transformer,closed_api_ui,external_only,1,1,1,1,1,0,1,0,0,0,0,0,1048576,,,May 2026 update,seed row from project atlas note; source verify before publication,TODO_VERIFY,0,0,1,0,1,,,,external-only multimodal seed
gemini-deep-research-max,Gemini Deep Research Max,Google,retrieval_augmented_generation_system,closed_system_wrapper,external_only,1,0,0,0,1,0,1,0,0,0,0,0,,,,,seed row from project atlas note; RAG/agent wrapper,TODO_VERIFY,0,0,0,0,1,,,,RAG agent seed
grok-4-3,Grok 4.3,xAI,unknown,closed_api_ui,external_only,1,0,0,0,1,0,1,0,0,0,0,0,1000000,,,,seed row from project atlas note; source verify before publication,TODO_VERIFY,0,0,0,0,1,,,,external-only closed frontier seed
perplexity-sonar,Perplexity Sonar,Perplexity,retrieval_augmented_generation_system,tool_rag_agent_system,external_only,1,0,0,0,1,0,1,0,0,0,0,0,,,,,seed row from project atlas note; web-grounded QA system,TODO_VERIFY,0,0,0,0,1,,,,RAG system seed
glm-5,Z.ai GLM-5,Z.ai,decoder_only_transformer,open_weight_local,internal_mechanistic_possible,1,0,0,0,1,1,1,1,1,1,1,0,,,,MIT noted in seed,seed row from project atlas note; source verify architecture and license,TODO_VERIFY,1,0,0,0,0,,,,open/local seed conditional on hardware and license
deepseek-v3,DeepSeek V3,DeepSeek,moe_transformer,open_weight_local,possible_but_hardware_heavy,1,0,0,0,0,1,1,1,1,1,1,0,,,,,seed row from project atlas note; source verify public MoE metadata,TODO_VERIFY,0,1,0,0,0,,,,open MoE seed hardware-heavy
deepseek-r1,DeepSeek R1,DeepSeek,decoder_only_transformer,open_weight_local,possible_but_hardware_heavy,1,0,0,0,0,1,1,1,1,1,1,0,,,,,seed row from project atlas note; source verify before publication,TODO_VERIFY,1,0,0,0,0,,,,open reasoning seed hardware-heavy
qwen3-235b-a22b,Qwen3-235B-A22B,Alibaba/Qwen,moe_transformer,open_weight_local,possible_but_hardware_heavy,1,0,0,0,0,1,0,1,1,1,1,0,,,,Apache 2.0 family in seed,seed row from project atlas note; source verify before publication,TODO_VERIFY,0,1,0,0,0,,,,open MoE seed hardware-heavy
qwen3-8b,Qwen3-8B,Alibaba/Qwen,decoder_only_transformer,open_weight_local,internal_mechanistic_possible,1,0,0,0,0,1,0,1,1,1,1,0,,,,Apache 2.0 family in seed,seed row from project atlas note; source verify before publication,TODO_VERIFY,1,0,0,0,0,,,,open dense seed
qwen-scope-sae,Qwen-Scope SAE artifacts,Alibaba/Qwen researchers,sparse_autoencoder_feature_space,research_control_suite,unusually_good_for_mechanistic_research,1,0,0,0,0,1,0,1,1,1,1,1,,,,,seed row from project atlas note; artifact source verify required,TODO_VERIFY,0,0,0,0,0,,,,SAE feature-space seed
llama-4-scout,Llama 4 Scout,Meta,moe_transformer,open_weight_local,possible_but_hardware_heavy,1,1,0,0,0,1,0,1,1,1,1,0,,,,Llama license in seed,seed row from project atlas note; source verify before publication,TODO_VERIFY,0,1,1,0,0,,,,multimodal open MoE seed
llama-3-1-8b,Llama 3.1 8B,Meta,decoder_only_transformer,open_weight_local,internal_mechanistic_possible,1,0,0,0,0,1,0,1,1,1,1,0,128000,,,Llama license in seed,seed row from project atlas note; source verify before publication,TODO_VERIFY,1,0,0,0,0,,,,open dense seed
llama-guard-family,Llama Guard family,Meta,decoder_only_transformer,open_weight_local,internal_mechanistic_possible,1,0,0,0,0,1,0,1,1,1,1,0,,,,Llama license in seed,seed row from project atlas note; safety classifier family,TODO_VERIFY,1,0,0,0,0,,,,safety classifier seed
mistral-small-4,Mistral Small 4,Mistral AI,multimodal_transformer,open_weight_api,internal_mechanistic_possible,1,1,0,0,0,1,1,1,1,1,1,0,256000,,,Apache 2.0 in seed,seed row from project atlas note; source verify before publication,TODO_VERIFY,0,0,1,0,0,,,,multimodal open/API seed
mixtral-8x7b,Mixtral 8x7B,Mistral AI,moe_transformer,open_weight_local,internal_mechanistic_possible,1,0,0,0,0,1,0,1,1,1,1,0,,,,Apache-style open release in seed,seed row from project atlas note; source verify before publication,TODO_VERIFY,0,1,0,0,0,,,,open MoE seed
mistral-7b,Mistral 7B,Mistral AI,decoder_only_transformer,open_weight_local,internal_mechanistic_possible,1,0,0,0,0,1,0,1,1,1,1,0,,,,Apache 2.0 in seed,seed row from project atlas note; source verify before publication,TODO_VERIFY,1,0,0,0,0,,,,research/open seed
gemma-3-1b,Gemma 3 1B,Google DeepMind,decoder_only_transformer,open_weight_local,internal_mechanistic_possible,1,0,0,0,0,1,0,1,1,1,1,0,128000,,,Gemma terms in seed,seed row from project atlas note; source verify before publication,TODO_VERIFY,1,0,0,0,0,,,,small/open seed
gemma-3-27b,Gemma 3 27B,Google DeepMind,multimodal_transformer,open_weight_local,internal_mechanistic_possible,1,1,0,0,0,1,0,1,1,1,1,0,128000,,,Gemma terms in seed,seed row from project atlas note; source verify before publication,TODO_VERIFY,0,0,1,0,0,,,,multimodal open seed
phi-4,Microsoft Phi-4,Microsoft,decoder_only_transformer,open_weight_local,internal_mechanistic_possible,1,0,0,0,0,1,0,1,1,1,1,0,,,,,seed row from project atlas note; source verify before publication,TODO_VERIFY,1,0,0,0,0,,,,open dense seed
phi-4-multimodal-instruct,Phi-4-multimodal-instruct,Microsoft,multimodal_transformer,open_weight_local,internal_mechanistic_possible,1,1,1,0,0,1,0,1,1,1,1,0,128000,,,,seed row from project atlas note; source verify before publication,TODO_VERIFY,0,0,1,0,0,,,,multimodal open seed
pythia-12b,Pythia-12B,EleutherAI,decoder_only_transformer,research_control_suite,unusually_good_for_mechanistic_research,1,0,0,0,0,1,0,1,1,1,1,0,,,,Apache 2.0 family in seed,seed row from project atlas note; source verify before publication,TODO_VERIFY,1,0,0,0,0,,,,research-control seed
pythia-6-9b,Pythia-6.9B,EleutherAI,decoder_only_transformer,research_control_suite,unusually_good_for_mechanistic_research,1,0,0,0,0,1,0,1,1,1,1,0,,,,Apache 2.0 family in seed,seed row from project atlas note; source verify before publication,TODO_VERIFY,1,0,0,0,0,,,,research-control seed
